Token,Expresion Regular,Lexema
AccesMod,nonlocal|global|public|private|protected|default|Shared,"nonlocal,global,public,private,protected,default,Shared"
Add,ADD|ADD CONSTRAINT,"ADD,ADD CONSTRAINT"
Alias,as|Alias,"as,Alias"
Alter,ALTER,ALTER
Arithmetic,+|-|*|/|**|//|%|++|--|Mod,"+,-,*,/,**,//,%,++,--,Mod"
Assignment,=|+=|-=|*=|/=|**=|//=|%=|&=||=|^=|>>=|<<=,"=,+=,-=,*=,/=,**=,//=,%=,&=,|=,^=,>>=,<<="
Asynchronous,await|async,"await,async"
Backup,BACKUP,BACKUP
Bitwise,&|||^|~|<<|>>,"&,|,^,~,<<,>>"
Boolean,([Tt]rue)|([Ff]alse),"True,true,False,false"
Break,break|End|Exit,"break,End,Exit"
Case,case,case
Cast,DirectCast|CBool|CByte|CChar|CDate|CDbl|CDec|CInt|CLng|CObj|CSByte|CShort|CSng|CStr|CUInt|CULng|CUShort|Narrowing|TryCast|Widening,"DirectCastDirectCast,CBool,CByte,CChar,CDate,CDbl,CDec,CInt,CLng,CObj,CSByte,CShort,CSng,CStr,CUInt,CULng,CUShort,Narrowing,TryCast,Widening"
Character,"\'[^\'\""\\]?\'",Infinitos
Class,class,class
Column,COLUMN,COLUMN
Comparison,<|>|==|!=|<=|>=,"<,>,==,!=,<=,>="
Complex,(([+-]?[0-9]+)|(([+-]?[0-9]+)(.[0-9]+)?([Ee][+-]?[0-9]+)?))i,Infinitos
Conditional,if,if
ConditionalConsequence,elif,elif
ConditionalQuery,HAVING|WHERE,"HAVING,WHERE"
Consequence,else,else
Constraint,CHECK|CONSTRAINT|FOREIGN KEY|PRIMARY KEY|UNIQUE,"CHECK,CONSTRAINT,FOREIGN KEY,PRIMARY KEY,UNIQUE"
Continue,continue,continue
Create,new|CREATE,"new,CREATE"
Database,DATABASE,DATABASE
DataStructure,list|tuple|dict|Array|Stack|Queue,"list,tuple,dict,Array,Stack,Queue"
DataType,int|int8|int16|int32|int64|string|boolean|float|decimal|date|char|byte|complex|long|short|double|time|Object|SByte|Single|UInteger|ULong|UShort|uint|uint8|uint16|uint32|uint64|float32|float64|complex64|complex128,"int,int8,int16,int32,int64,string,boolean,float,decimal,date,char,byte,complex,long,short,double,time,Object,SByte,Single,UInteger,ULong,UShort,uint,uint8,uint16,uint32,uint64,float32,float64,complex64,complex128"
